Pathways	HMMs	reactants	products	formula	kegg_module
O-S-01:Iron reduction	MtrA.hmm or MtrB_TIGR03509.hmm or MtrC_TIGR03507.hmm or CymA.hmm or OmcF.hmm or OmcS.hmm or OmcZ.hmm or Ndh2.hmm or DFE_0450.hmm or DFE_0464.hmm	feIII	feII	2 Fe3+ + NADPH <=> 2 Fe2+ + NADP+ + H+ [RN:R09541]	
O-S-02:Iron oxidation	Cyc1.hmm or Cyc2_repCluster1.hmm or Cyc2_repCluster2.hmm or Cyc2_repCluster3.hmm or FoxA.hmm or FoxB.hmm or FoxC.hmm or FoxE.hmm or FoxY.hmm or FoxZ.hmm or MtoA.hmm or sulfocyanin.hmm	feII	feIII	oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O [RN:R00078]	
O-S-03:Arsenate reduction	arrA.hmm	arsenate	arsenite	arsenate ion + Glutaredoxin <=> arsenite + Glutaredoxin disulfide [RN:]	
O-S-04:Arsenite oxidation	arxA.hmm or aioA.hmm	arsenite	arsenate	arsenite + H2O + 2 oxidized azurin = arsenate + 2 reduced azurin + 2 H+ [RN:R05751]	
O-S-05:Selenate reduction	TIGR03312.hmm or TIGR03313.hmm or TIGR03315.hmm	selenate	selenium	selenate + reduced acceptor = selenite + H2O + acceptor [RN:R07229]	
O-S-06:Aerobic respiration	TIGR02882.hmm or TIGR01432.hmm or TIGR00203.hmm or PF01654.hmm or K02299.hmm or K02298.hmm or TIGR02847.hmm or TIGR01433.hmm or TIGR00782.hmm or TIGR00781.hmm or TIGR00780.hmm or TIGR02866.hmm or TIGR02891.hmm				
P-S-01:Immobilisation (P-rich)	NF033774.1.hmm				
P-S-01:Immobilisation (P-poor)	K02040.hmm				
P-S-02:Mineralisation	K01077.hmm or K01113.hmm or K07093.hmm or K09474.hmm or K03788.hmm or K01078.hmm or K01093.hmm or K01083.hmm or K02044.hmm or K06163.hmm or TIGR03276.1.hmm or TIGR01422.2.hmm or TIGR02335.1.hmm or TIGR02335.1.hmm or TIGR02318.1.hmm or TIGR02326.1.hmm or K06166.hmm or K06165.hmm or K06164.hmm or K05781.hmm or K05780.hmm				
P-S-03:Dissolution	K01507.hmm or K01514.hmm or K00937.hmm or K00117.hmm or K06137.hmm				
