Graph_No	ID	Type	Implementation	HMM_threshold	enzyme_long	function_input	function_output	HMM_source	enzyme_ref	kegg_ortholog	Comment
11.64	bcrD	HMM	K04115.hmm	296.30|full	benzoyl-CoA reductase subunit D	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K04115	
11.65	treS	HMM	K05343.hmm	495.17|domain	alpha-amylase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05343	
11.66	bglX	HMM	K05349.hmm	314.90|full	beta-glucosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05349	
11.67	bglB	HMM	K05350.hmm	584.90|domain	beta-glucosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05350	
11.68	LYSN	HMM	K05825.hmm	392.87|domain	aminotransferase class I and II	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05825	
11.69	lysJ	HMM	K05830.hmm	505.00|domain	ornithine/acetylornithine aminotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05830	
11.70	ramA	HMM	K05989.hmm	173.10|domain	alpha-L-rhamnosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K05989	
11.71	fadE	HMM	K06445.hmm	427.00|full	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K06445	
11.72	DCAA	HMM	K06446.hmm	490.30|domain	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K06446	
11.73	gabT	HMM	K07250.hmm	639.10|domain	4-aminobutyrate aminotransferase and related aminotransferases	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K07250	
11.74	aamy	HMM	K07405.hmm	344.03|full	alpha-amylase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K07405	
11.75	aidB	HMM	K09456.hmm	461.93|full	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K09456	
11.76	ACADSB	HMM	K09478.hmm	500.07|full	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K09478	
11.77	fae	HMM	TIGR03126.hmm	31.15|full	5.6.7.8-tetrahydromethanopterin hydro-lyase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K10713	
11.78	CH4_NH3mon_ox_B	HMM	TIGR03079.hmm	156.70|full	methane/ammonia monooxygenase subunit B	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K10945	
11.79	CH4_NH3mon_ox_C	HMM	TIGR03078.hmm	280.6|full	methane/ammonia monooxygenase subunit C	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K10946	
11.80	yhdR	HMM	K11358.hmm	342.60|full	aspartate/tyrosine/aromatic aminotransferase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11358	
11.81	acdH	HMM	K11410.hmm	510.67|domain	acyl-CoA dehydrogenase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K11410	
11.82	ebgA	HMM	K12111.hmm	1274.03|domain	beta-galactosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K12111	
11.83	bgaB	HMM	K12308.hmm	225.67|domain	beta-galactosidase	NA	NA	https://doi.org/10.1186/s40168-021-01213-8		K12308	
